Date,Value
2017-09-26 00:00:00,5.0
2017-09-27 00:00:00,5.0
2017-09-28 00:00:00,5.0
2017-09-29 00:00:00,5.0
2017-09-30 00:00:00,5.0
2017-10-01 00:00:00,5.0
2017-10-02 00:00:00,5.0
2017-10-03 00:00:00,6.89
2017-10-04 00:00:00,8.6
2017-10-05 00:00:00,9.2
2017-10-06 00:00:00,10.7
2017-10-07 00:00:00,11.7
2017-10-11 01:56:36.795000,16.0
2017-10-11 02:00:42.165000,16.0
2017-10-11 03:01:05.284000,16.0
2017-10-11 04:00:59.687000,16.0
2017-10-11 05:01:59.187000,16.0
2017-10-11 06:02:07.302000,16.0
2017-10-11 07:10:12.609000,16.0
2017-10-11 08:01:43.705000,16.0
2017-10-11 09:01:42.269000,16.0
2017-10-11 10:01:45.503000,16.0
2017-10-11 11:01:22.670000,16.0
2017-10-11 12:01:51.789000,10.6
2017-10-11 13:02:41.806000,10.6
2017-10-11 14:01:02.491000,10.6
2017-10-11 15:01:19.108000,10.6
2017-10-11 16:01:13.294000,10.6
2017-10-11 17:00:55.959000,10.6
2017-10-11 18:01:16.892000,10.6
2017-10-11 19:01:02.615000,10.6
2017-10-11 20:00:55.374000,10.6
2017-10-11 22:01:48.549000,10.6
2017-10-11 23:01:06.629000,10.6
2017-10-12 00:02:27.055000,10.6
2017-10-12 01:00:36.425000,10.6
2017-10-12 02:01:05.009000,10.6
2017-10-12 03:00:46.778000,10.6
2017-10-12 04:01:25.278000,10.6
2017-10-12 05:00:59.630000,10.6
2017-10-12 06:01:30.770000,10.6
2017-10-12 07:00:59.563000,10.6
2017-10-12 08:01:05.436000,10.6
2017-10-12 09:01:04.159000,10.6
2017-10-12 10:01:24.381000,10.6
2017-10-12 11:01:04.498000,10.6
2017-10-12 12:01:05.293000,17.0
2017-10-12 13:01:15.432000,17.0
2017-10-12 15:01:46.446000,17.0
2017-10-12 16:01:16.444000,17.0
2017-10-12 17:00:35.957000,17.0
2017-10-12 18:01:24.298000,17.0
2017-10-12 19:00:58.180000,17.0
2017-10-12 20:00:54.936000,17.0
2017-10-12 22:00:37.197000,17.0
2017-10-12 23:01:31.145000,17.0
2017-10-13 00:01:34.488000,17.0
2017-10-13 01:01:19.596000,17.0
2017-10-13 02:01:15.340000,17.0
2017-10-13 03:01:27.654000,17.0
2017-10-13 04:01:32.614000,17.0
2017-10-13 05:01:03.989000,17.0
2017-10-13 06:01:06.723000,17.0
2017-10-13 07:01:04.967000,17.0
2017-10-13 08:01:52.568000,17.0
2017-10-13 09:01:00.611000,17.0
2017-10-13 10:01:03.545000,17.0
2017-10-13 11:01:09.505000,17.0
2017-10-13 12:01:20.877000,9.0
2017-10-13 13:01:16.431000,9.0
2017-10-13 14:01:04.876000,9.0
2017-10-13 15:01:14.439000,9.0
2017-10-13 16:31:40.444000,9.0
2017-10-13 17:00:40.177000,9.0
2017-10-13 18:00:41.369000,9.0
2017-10-13 19:00:56.234000,9.0
2017-10-13 20:01:01.245000,9.0
2017-10-13 21:00:51.351000,9.0
2017-10-13 22:01:22.370000,9.0
2017-10-13 23:01:11.567000,9.0
2017-10-14 00:01:22.384000,9.0
2017-10-14 01:00:51.093000,9.0
2017-10-14 02:00:52.523000,9.0
2017-10-14 03:00:31.973000,9.0
2017-10-14 04:01:12.885000,9.0
2017-10-14 05:01:15.042000,9.0
2017-10-14 06:01:49.159000,9.0
2017-10-14 07:02:12.279000,9.0
2017-10-14 08:01:55.653000,9.0
2017-10-14 09:01:18.022000,9.0
2017-10-14 10:01:08.585000,9.0
2017-10-14 11:01:23.718000,9.0
2017-10-14 12:01:26.536000,9.0
2017-10-14 13:01:27.512000,14.6
2017-10-14 14:01:01.065000,14.6
2017-10-14 15:00:47.138000,14.6
2017-10-14 16:00:52.264000,14.6
2017-10-14 17:00:36.915000,14.6
