Date,Value
2017-09-29 00:00:00,193
2017-09-30 00:00:00,234
2017-10-01 00:00:00,234
2017-10-02 00:00:00,234
2017-10-03 00:00:00,232
2017-10-04 00:00:00,193
2017-10-05 00:00:00,196
2017-10-06 00:00:00,216
2017-10-07 00:00:00,154
2017-10-11 01:56:36.830000,124
2017-10-11 02:00:42.252000,124
2017-10-11 03:01:05.369000,124
2017-10-11 04:00:59.729000,124
2017-10-11 05:01:59.262000,124
2017-10-11 06:02:07.337000,124
2017-10-11 07:10:12.733000,124
2017-10-11 08:01:43.734000,124
2017-10-11 09:01:42.305000,124
2017-10-11 10:01:45.524000,124
2017-10-11 11:01:22.804000,124
2017-10-11 12:01:51.929000,123
2017-10-11 13:02:41.835000,123
2017-10-11 14:01:02.526000,123
2017-10-11 15:01:19.218000,123
2017-10-11 16:01:13.357000,123
2017-10-11 17:00:56.007000,123
2017-10-11 18:01:16.923000,123
2017-10-11 19:01:02.686000,123
2017-10-11 20:00:55.432000,123
2017-10-11 22:01:48.570000,123
2017-10-11 23:01:06.742000,123
2017-10-12 00:02:27.117000,123
2017-10-12 01:00:36.445000,123
2017-10-12 02:01:05.214000,123
2017-10-12 03:00:46.836000,123
2017-10-12 04:01:25.470000,123
2017-10-12 05:00:59.650000,123
2017-10-12 06:01:30.860000,123
2017-10-12 07:00:59.595000,123
2017-10-12 08:01:05.455000,123
2017-10-12 09:01:04.180000,123
2017-10-12 10:01:24.405000,123
2017-10-12 11:01:04.517000,123
2017-10-12 12:01:05.342000,105
2017-10-12 13:01:15.456000,105
2017-10-12 15:01:46.475000,105
2017-10-12 16:01:16.469000,105
2017-10-12 17:00:35.994000,105
2017-10-12 18:01:24.328000,105
2017-10-12 19:00:58.200000,105
2017-10-12 20:00:55.346000,105
2017-10-16 19:39:51.221000,82
2017-10-16 21:02:11.008000,82
2017-10-16 22:00:52.542000,82
2017-10-16 23:01:21.344000,82
2017-10-17 00:01:44.362000,82
2017-10-17 01:01:59.367000,82
2017-10-17 02:01:46.240000,82
2017-10-17 03:01:36.593000,82
2017-10-17 04:02:14.237000,82
2017-10-17 05:01:29.182000,82
2017-10-17 06:01:40.268000,82
2017-10-17 07:01:19.252000,82
2017-10-17 08:01:31.922000,82
2017-10-17 09:01:21.118000,82
2017-10-17 10:03:17.655000,82
2017-10-17 11:01:12.290000,82
2017-10-17 12:01:51.944000,88
2017-10-17 13:01:23.171000,88
2017-10-17 14:00:58.406000,88
2017-10-17 16:01:18.747000,88
2017-10-17 17:01:06.549000,88
2017-10-17 18:00:55.453000,88
2017-10-17 19:01:00.341000,88
2017-10-17 20:01:12.283000,88
2017-10-17 21:00:36.660000,88
2017-10-17 22:01:27.674000,88
2017-10-17 23:01:01.254000,88
2017-10-18 00:02:50.348000,88
2017-10-18 01:01:47.302000,88
2017-10-18 02:01:12.875000,88
2017-10-18 03:01:31.099000,88
2017-10-18 04:02:01.734000,88
2017-10-18 05:01:36.641000,88
2017-10-18 06:02:00.775000,88
2017-10-18 07:02:29.681000,88
2017-10-18 08:02:26.962000,88
2017-10-18 09:03:24.087000,88
2017-10-18 10:02:20.359000,88
2017-10-18 11:03:15.772000,88
2017-10-18 12:02:00.231000,88
2017-10-18 13:02:08.967000,88
2017-10-18 14:02:38.567000,88
2017-10-18 15:01:56.154000,88
2017-10-18 16:02:56.319000,88
2017-10-18 17:01:43.967000,88
2017-10-18 18:01:38.031000,88
2017-10-18 19:01:45.836000,88
2017-10-18 20:00:59.343000,88
2017-10-18 21:00:28.134000,88
2017-10-18 22:00:49.135000,88
2017-10-18 23:00:54.161000,88
2017-10-19 00:01:52.828000,88
2017-10-19 01:01:27.679000,88
2017-10-19 02:01:09.020000,88
2017-10-19 03:01:16.691000,88
2017-10-19 04:01:19.202000,88
2017-10-19 05:01:15.785000,88
2017-10-19 06:01:18.238000,88
2017-10-19 07:01:02.251000,88
2017-10-19 08:01:06.647000,88
2017-10-19 09:01:30.350000,88
2017-10-19 10:00:59.404000,88
2017-10-19 11:01:35.835000,88
2017-10-19 12:01:18.508000,88
2017-10-19 13:01:34.909000,92
2017-10-19 14:00:52.653000,92
2017-10-19 15:01:28.348000,92
2017-10-19 16:00:55.004000,92
2017-10-19 17:00:36.215000,92
2017-10-19 18:01:23.445000,92
2017-10-19 19:00:51.699000,92
2017-10-19 20:00:41.242000,92
2017-10-19 21:00:55.879000,92
2017-10-19 22:01:17.785000,92
2017-10-19 23:01:22.028000,92
2017-10-20 00:02:14.991000,92
2017-10-20 01:01:13.826000,92
2017-10-20 02:01:42.861000,92
2017-10-20 03:01:01.035000,92
2017-10-20 04:00:54.261000,92
2017-10-20 05:01:41.476000,92
2017-10-20 06:02:08.972000,92
2017-10-20 07:01:14.529000,92
2017-10-20 08:01:14.429000,92
2017-10-20 09:01:13.100000,92
2017-10-20 10:01:10.876000,92
2017-10-20 11:01:20.524000,92
2017-10-20 12:02:10.503000,92
2017-10-20 13:01:04.616000,92
2017-10-20 14:00:53.415000,105
2017-10-20 15:01:19.224000,105
2017-10-20 16:01:36.129000,105
2017-10-20 17:01:18.169000,105
2017-10-20 18:01:36.800000,105
2017-10-20 19:01:34.336000,105
2017-10-20 20:01:01.328000,105
2017-10-20 21:00:49.378000,105
2017-10-20 22:01:21.233000,105
2017-10-20 23:00:57.153000,105
2017-10-21 00:01:01.463000,105
2017-10-21 01:01:21.497000,105
2017-10-21 02:01:32.855000,105
2017-10-21 02:10:54.825000,105
2017-10-21 03:01:31.695000,105
2017-10-21 04:01:09.479000,105
2017-10-21 05:01:26.298000,105
2017-10-21 06:01:18.822000,105
2017-10-21 07:01:18.962000,105
2017-10-21 08:01:26.753000,105
2017-10-21 09:01:21.917000,105
2017-10-21 10:01:05.386000,105
2017-10-21 11:00:51.083000,105
2017-10-21 12:01:03.396000,105
2017-10-21 13:00:48.999000,81
2017-10-21 14:01:39.308000,81
2017-10-21 15:00:59.771000,81
2017-10-21 16:01:12.457000,81
2017-10-21 17:00:24.841000,81
2017-10-21 18:00:44.200000,81
2017-10-21 19:00:51.406000,81
2017-10-21 20:00:30.070000,81
2017-10-21 21:01:08.567000,81
2017-10-21 22:00:52.631000,81
