Date,Value
2017-09-26 00:00:00,32.0
2017-09-27 00:00:00,44.0
2017-09-28 00:00:00,50.0
2017-09-29 00:00:00,54.0
2017-09-30 00:00:00,75.0
2017-10-01 00:00:00,75.0
2017-10-02 00:00:00,75.0
2017-10-03 00:00:00,75.0
2017-10-04 00:00:00,75.0
2017-10-05 00:00:00,75.0
2017-10-06 00:00:00,75.0
2017-10-07 00:00:00,75.0
2017-10-11 01:56:36.853000,75.0
2017-10-11 02:00:42.338000,75.0
2017-10-11 03:01:05.393000,75.0
2017-10-11 04:00:59.771000,75.0
2017-10-11 05:01:59.369000,75.0
2017-10-11 06:02:07.366000,75.0
2017-10-11 07:10:12.781000,75.0
2017-10-11 08:01:43.751000,75.0
2017-10-11 09:01:42.321000,75.0
2017-10-11 10:01:45.541000,75.0
2017-10-11 11:01:22.885000,75.0
2017-10-11 12:01:51.996000,75.0
2017-10-11 13:02:41.888000,75.0
2017-10-11 14:01:02.549000,75.0
2017-10-11 15:01:19.268000,75.0
2017-10-11 16:01:13.402000,75.0
2017-10-11 17:00:56.149000,75.0
2017-10-11 18:01:16.963000,75.0
2017-10-11 19:01:02.749000,75.0
2017-10-11 20:00:55.456000,75.0
2017-10-11 22:01:48.606000,75.0
2017-10-11 23:01:06.786000,75.0
2017-10-12 00:02:27.184000,75.0
2017-10-12 01:00:36.459000,75.0
2017-10-12 02:01:05.281000,75.0
2017-10-12 03:00:46.887000,75.0
2017-10-12 04:01:25.820000,75.0
2017-10-12 05:00:59.662000,75.0
2017-10-12 06:01:30.923000,75.0
2017-10-12 07:00:59.618000,75.0
2017-10-12 08:01:05.468000,75.0
2017-10-12 09:01:04.200000,75.0
2017-10-12 10:01:24.419000,75.0
2017-10-12 11:01:04.532000,75.0
2017-10-12 12:01:05.361000,75.0
2017-10-12 13:01:15.470000,75.0
2017-10-12 15:01:46.494000,75.0
2017-10-12 16:01:16.482000,75.0
2017-10-12 17:00:36.057000,75.0
2017-10-12 18:01:24.348000,75.0
2017-10-12 19:00:58.211000,75.0
2017-10-12 20:00:55.464000,75.0
2017-10-16 19:39:51.337000,100.0
2017-10-16 21:02:11.051000,100.0
2017-10-16 22:00:52.595000,100.0
2017-10-16 23:01:21.482000,100.0
2017-10-17 00:01:44.381000,100.0
2017-10-17 01:01:59.411000,100.0
2017-10-17 02:01:46.252000,100.0
2017-10-17 03:01:36.628000,100.0
2017-10-17 04:02:14.265000,100.0
2017-10-17 05:01:29.197000,100.0
2017-10-17 06:01:40.314000,100.0
2017-10-17 07:01:19.270000,100.0
2017-10-17 08:01:31.941000,100.0
2017-10-17 09:01:21.133000,100.0
2017-10-17 10:03:17.770000,100.0
2017-10-17 11:01:12.312000,100.0
2017-10-17 12:01:51.979000,100.0
2017-10-17 13:01:23.187000,100.0
2017-10-17 14:00:58.434000,100.0
2017-10-17 16:01:18.900000,100.0
2017-10-17 17:01:06.612000,100.0
2017-10-17 18:00:55.526000,100.0
2017-10-17 19:01:00.362000,100.0
2017-10-17 20:01:12.304000,100.0
2017-10-17 21:00:36.685000,100.0
2017-10-17 22:01:27.704000,100.0
2017-10-17 23:01:01.267000,100.0
2017-10-18 00:02:50.382000,100.0
2017-10-18 01:01:47.327000,100.0
2017-10-18 02:01:12.897000,100.0
2017-10-18 03:01:31.120000,100.0
2017-10-18 04:02:01.750000,100.0
2017-10-18 05:01:36.670000,100.0
2017-10-18 06:02:00.787000,100.0
2017-10-18 07:02:29.698000,100.0
2017-10-18 08:02:26.989000,100.0
2017-10-18 09:03:24.109000,100.0
2017-10-18 10:02:20.374000,100.0
2017-10-18 11:03:15.799000,100.0
2017-10-18 12:02:00.262000,100.0
2017-10-18 13:02:09.030000,100.0
2017-10-18 14:02:38.587000,100.0
2017-10-18 15:01:56.165000,100.0
2017-10-18 16:02:56.333000,100.0
2017-10-18 17:01:44.040000,100.0
2017-10-18 18:01:38.043000,100.0
2017-10-18 19:01:46.219000,100.0
2017-10-18 20:00:59.362000,100.0
2017-10-18 21:00:28.165000,100.0
2017-10-18 22:00:49.154000,100.0
2017-10-18 23:00:54.181000,100.0
2017-10-19 00:01:52.858000,100.0
2017-10-19 01:01:27.696000,100.0
2017-10-19 02:01:09.050000,100.0
2017-10-19 03:01:16.778000,100.0
2017-10-19 04:01:19.383000,100.0
2017-10-19 05:01:15.799000,100.0
2017-10-19 06:01:18.254000,100.0
2017-10-19 07:01:02.264000,100.0
2017-10-19 08:01:06.740000,100.0
2017-10-19 09:01:30.394000,100.0
2017-10-19 10:00:59.422000,100.0
2017-10-19 11:01:35.869000,100.0
2017-10-19 12:01:18.519000,100.0
2017-10-19 13:01:34.938000,100.0
