Date,Value
2017-09-27 00:00:00,182
2017-09-29 00:00:00,161
2017-09-30 00:00:00,150
2017-10-01 00:00:00,139
2017-10-02 00:00:00,139
2017-10-03 00:00:00,149
2017-10-04 00:00:00,135
2017-10-05 00:00:00,132
2017-10-06 00:00:00,68
2017-10-07 00:00:00,116
2017-10-11 01:56:36.821000,112
2017-10-11 02:00:42.233000,112
2017-10-11 03:01:05.332000,112
2017-10-11 04:00:59.719000,112
2017-10-11 05:01:59.240000,112
2017-10-11 06:02:07.323000,112
2017-10-11 07:10:12.722000,112
2017-10-11 08:01:43.723000,112
2017-10-11 09:01:42.291000,112
2017-10-11 10:01:45.518000,112
2017-10-11 11:01:22.771000,112
2017-10-11 12:01:51.879000,108
2017-10-11 13:02:41.825000,108
2017-10-11 14:01:02.516000,108
2017-10-11 15:01:19.192000,108
2017-10-11 16:01:13.338000,108
2017-10-11 17:00:55.995000,108
2017-10-11 18:01:16.912000,108
2017-10-11 19:01:02.674000,108
2017-10-11 20:00:55.406000,108
2017-10-11 22:01:48.563000,108
2017-10-11 23:01:06.703000,108
2017-10-12 00:02:27.080000,108
2017-10-12 01:00:36.438000,108
2017-10-12 02:01:05.072000,108
2017-10-12 03:00:46.808000,108
2017-10-12 04:01:25.411000,108
2017-10-12 05:00:59.643000,108
2017-10-12 06:01:30.840000,108
2017-10-12 07:00:59.585000,108
2017-10-12 08:01:05.449000,108
2017-10-12 09:01:04.172000,108
2017-10-12 10:01:24.397000,108
2017-10-12 11:01:04.511000,108
2017-10-12 12:01:05.333000,107
2017-10-12 13:01:15.448000,107
2017-10-12 15:01:46.468000,107
2017-10-12 16:01:16.460000,107
2017-10-12 17:00:35.984000,107
2017-10-12 18:01:24.319000,107
2017-10-12 19:00:58.193000,107
2017-10-12 20:00:55.218000,107
2017-10-16 19:39:51.133000,105
2017-10-16 21:02:10.975000,105
2017-10-16 22:00:52.512000,105
2017-10-16 23:01:21.275000,105
2017-10-17 00:01:44.350000,105
2017-10-17 01:01:59.352000,105
2017-10-17 02:01:46.230000,105
2017-10-17 03:01:36.576000,105
2017-10-17 04:02:13.998000,105
2017-10-17 05:01:29.172000,105
2017-10-17 06:01:40.200000,105
2017-10-17 07:01:19.239000,105
2017-10-17 08:01:31.909000,105
2017-10-17 09:01:21.106000,105
2017-10-17 10:03:17.557000,105
2017-10-17 11:01:12.275000,105
2017-10-17 12:01:51.928000,104
2017-10-17 13:01:23.157000,104
2017-10-17 14:00:58.392000,104
2017-10-17 16:01:18.620000,104
2017-10-17 17:01:06.452000,104
2017-10-17 18:00:55.418000,104
2017-10-17 19:01:00.326000,104
2017-10-17 20:01:12.267000,104
2017-10-17 21:00:36.644000,104
2017-10-17 22:01:27.650000,104
2017-10-17 23:01:01.245000,104
2017-10-18 00:02:50.319000,104
2017-10-18 01:01:47.285000,104
2017-10-18 02:01:12.852000,104
2017-10-18 03:01:31.081000,104
2017-10-18 04:02:01.723000,104
2017-10-18 05:01:36.606000,104
2017-10-18 06:02:00.766000,104
2017-10-18 07:02:29.670000,104
2017-10-18 08:02:26.924000,104
2017-10-18 09:03:24.043000,104
2017-10-18 10:02:20.346000,104
2017-10-18 11:03:15.746000,104
2017-10-18 12:02:00.218000,104
2017-10-18 13:02:08.918000,100
2017-10-18 14:02:38.533000,100
2017-10-18 15:01:56.146000,100
2017-10-18 16:02:56.308000,100
2017-10-18 17:01:43.942000,100
2017-10-18 18:01:38.022000,100
2017-10-18 19:01:45.769000,100
2017-10-18 20:00:59.319000,100
2017-10-18 21:00:28.115000,100
2017-10-18 22:00:49.114000,100
2017-10-18 23:00:54.146000,100
2017-10-19 00:01:52.808000,100
2017-10-19 01:01:27.666000,100
2017-10-19 02:01:09.001000,100
2017-10-19 03:01:16.639000,100
2017-10-19 04:01:19.069000,100
2017-10-19 05:01:15.773000,100
2017-10-19 06:01:18.229000,100
2017-10-19 07:01:02.242000,100
2017-10-19 08:01:06.540000,100
2017-10-19 09:01:30.333000,100
2017-10-19 10:00:59.393000,100
2017-10-19 11:01:35.764000,100
2017-10-19 12:01:18.477000,100
2017-10-19 13:01:34.855000,94
2017-10-19 14:00:52.641000,94
2017-10-19 15:01:28.329000,94
2017-10-19 16:00:54.990000,94
2017-10-19 17:00:36.198000,94
2017-10-19 18:01:23.432000,94
2017-10-19 19:00:51.687000,94
2017-10-19 20:00:41.232000,94
2017-10-19 21:00:55.863000,94
2017-10-19 22:01:17.772000,94
2017-10-19 23:01:22.010000,94
2017-10-20 00:02:14.975000,94
2017-10-20 01:01:13.660000,94
2017-10-20 02:01:42.853000,94
2017-10-20 03:01:01.014000,94
2017-10-20 04:00:54.252000,94
2017-10-20 05:01:41.453000,94
2017-10-20 06:02:08.943000,94
2017-10-20 07:01:14.515000,94
2017-10-20 08:01:14.406000,94
2017-10-20 09:01:13.085000,94
2017-10-20 10:01:10.848000,94
2017-10-20 11:01:20.510000,94
2017-10-20 12:02:10.478000,94
2017-10-20 13:01:04.603000,94
2017-10-20 14:00:53.398000,92
2017-10-20 15:01:19.213000,92
2017-10-20 16:01:36.089000,92
2017-10-20 17:01:18.132000,92
2017-10-20 18:01:36.789000,92
2017-10-20 19:01:34.322000,92
2017-10-20 20:01:01.319000,92
2017-10-20 21:00:49.360000,92
2017-10-20 22:01:21.223000,92
2017-10-20 23:00:57.121000,92
2017-10-21 00:01:01.439000,92
2017-10-21 01:01:21.478000,92
2017-10-21 02:01:32.838000,92
2017-10-21 02:10:54.813000,92
2017-10-21 03:01:31.679000,92
2017-10-21 04:01:09.446000,92
2017-10-21 05:01:26.279000,92
2017-10-21 06:01:18.812000,92
2017-10-21 07:01:18.951000,92
2017-10-21 08:01:26.743000,92
2017-10-21 09:01:21.908000,92
2017-10-21 10:01:05.369000,92
2017-10-21 11:00:51.072000,92
2017-10-21 12:01:03.379000,92
2017-10-21 13:00:48.927000,92
2017-10-21 14:01:39.298000,92
2017-10-21 15:00:59.756000,92
2017-10-21 16:01:12.442000,92
2017-10-21 17:00:24.832000,92
2017-10-21 18:00:44.174000,92
2017-10-21 19:00:51.395000,92
2017-10-21 20:00:30.061000,92
2017-10-21 21:01:08.557000,92
2017-10-21 22:00:52.607000,92
2017-10-21 23:00:44.823000,92
2017-10-22 00:02:02.396000,92
2017-10-22 01:01:28.953000,92
2017-10-22 02:00:55.644000,92
2017-10-22 03:01:23.356000,92
2017-10-22 04:01:10.783000,92
2017-10-22 05:01:00.416000,92
2017-10-22 06:01:18.733000,92
2017-10-22 07:01:04.551000,92
2017-10-22 08:00:50.101000,92
2017-10-22 09:00:57.916000,92
2017-10-22 10:01:11.023000,92
2017-10-22 11:01:25.690000,92
2017-10-22 12:01:28.172000,92
2017-10-22 13:01:20.529000,92
2017-10-22 14:01:19.278000,92
2017-10-22 15:01:29.852000,92
2017-10-22 16:01:20.796000,92
2017-10-22 17:01:27.801000,92
2017-10-22 18:01:16.581000,92
2017-10-22 19:01:09.617000,92
2017-10-22 20:01:02.667000,92
2017-10-22 21:00:59.763000,92
2017-10-22 22:00:46.964000,92
2017-10-22 23:01:05.854000,92
2017-10-23 00:01:29.488000,92
2017-10-23 01:01:20.104000,92
2017-10-23 02:01:23.651000,92
2017-10-23 03:01:29.135000,92
2017-10-23 04:01:17.635000,92
2017-10-23 05:00:57.319000,92
2017-10-23 06:01:21.340000,92
2017-10-23 07:01:25.502000,92
2017-10-23 08:01:44.892000,92
2017-10-23 09:01:19.161000,92
2017-10-23 10:01:24.502000,92
2017-10-23 11:00:51.621000,92
2017-10-23 12:01:30.693000,92
2017-10-23 13:00:53.262000,87
2017-10-23 14:01:04.835000,87
2017-10-23 15:01:36.769000,87
2017-10-23 16:01:43.993000,87
2017-10-23 17:00:58.449000,87
2017-10-23 18:01:00.874000,87
2017-10-23 19:00:47.110000,87
2017-10-23 20:00:45.474000,87
2017-10-23 21:01:07.567000,87
2017-10-23 22:01:07.026000,87
2017-10-23 23:00:52.747000,87
2017-10-24 00:02:01.346000,87
2017-10-24 01:01:42.034000,87
2017-10-24 02:01:18.759000,87
2017-10-24 03:01:36.594000,87
2017-10-24 04:01:23.111000,87
2017-10-24 05:01:33.176000,87
2017-10-24 06:02:08.974000,87
2017-10-24 07:01:17.893000,87
2017-10-24 08:01:23.839000,87
2017-10-24 09:01:25.913000,87
2017-10-24 10:01:20.783000,87
2017-10-24 11:01:05.389000,87
2017-10-24 12:01:13.718000,87
2017-10-24 13:01:02.947000,87
2017-10-24 14:01:21.757000,87
2017-10-24 15:01:34.061000,87
2017-10-24 16:01:03.938000,87
2017-10-24 17:01:25.290000,87
2017-10-24 18:00:47.930000,87
2017-10-24 19:00:46.318000,87
2017-10-24 20:00:57.696000,87
2017-10-24 21:00:35.441000,87
2017-10-24 22:00:49.259000,87
2017-10-24 23:00:48.711000,87
2017-10-25 00:01:52.581000,87
2017-10-25 01:01:05.078000,87
2017-10-25 02:01:11.317000,87
2017-10-25 03:01:13.306000,87
2017-10-25 04:01:19.368000,87
2017-10-25 05:01:02.817000,87
2017-10-25 06:01:25.311000,87
2017-10-25 07:01:19.745000,87
2017-10-25 08:01:25.523000,87
2017-10-25 09:01:34.165000,87
2017-10-25 10:01:40.182000,87
2017-10-25 11:00:28.049000,87
2017-10-25 12:01:16.180000,87
2017-10-25 13:00:39.905000,83
2017-10-25 14:00:47.626000,83
2017-10-25 15:01:05.794000,83
2017-10-25 16:01:30.785000,83
2017-10-25 17:00:37.802000,83
2017-10-25 18:00:55.831000,83
2017-10-25 19:00:36.972000,83
2017-10-25 20:01:07.871000,83
2017-10-25 21:00:38.880000,83
2017-10-25 22:01:35.268000,83
2017-10-25 23:01:02.629000,83
2017-10-26 00:02:09.260000,83
2017-10-26 01:01:05.139000,83
2017-10-26 02:01:17.443000,83
2017-10-26 03:01:24.659000,83
2017-10-26 04:01:03.569000,83
2017-10-26 05:01:19.564000,83
2017-10-26 06:01:58.019000,83
2017-10-26 07:01:31.507000,83
2017-10-26 08:01:18.540000,83
2017-10-26 09:01:06.202000,83
2017-10-26 10:01:18.784000,83
2017-10-26 11:00:55.527000,83
2017-10-26 12:01:30.160000,83
2017-10-26 13:00:56.270000,82
2017-10-26 14:01:30.431000,82
2017-10-26 15:01:34.155000,82
2017-10-26 16:01:21.747000,82
2017-10-26 17:00:38.089000,82
2017-10-26 18:01:06.057000,82
2017-10-26 19:01:40.063000,82
2017-10-26 20:00:52.428000,82
2017-10-26 21:00:43.096000,82
2017-10-26 22:01:02.132000,82
2017-10-26 23:01:31.804000,82
2017-10-27 00:02:03.461000,82
2017-10-27 01:01:18.350000,82
2017-10-27 02:01:04.753000,82
2017-10-27 03:01:20.146000,82
2017-10-27 04:01:21.128000,82
2017-10-27 05:01:13.650000,82
2017-10-27 06:01:19.696000,82
2017-10-27 07:01:10.427000,82
2017-10-27 08:01:09.808000,82
2017-10-27 09:01:14.676000,82
2017-10-27 10:01:22.111000,82
2017-10-27 11:01:01.162000,82
2017-10-27 12:01:17.318000,82
2017-10-27 13:00:36.172000,80
2017-10-27 14:01:07.401000,80
2017-10-27 15:01:10.255000,80
2017-10-27 16:01:02.975000,80
2017-10-27 17:01:11.051000,80
2017-10-27 18:00:35.483000,80
2017-10-27 19:01:13.197000,80
2017-10-27 20:00:44.463000,80
2017-10-27 21:00:44.151000,80
2017-10-27 22:00:57.189000,80
2017-10-27 23:01:33.872000,80
2017-10-28 00:01:50.368000,80
2017-10-28 01:01:23.635000,80
2017-10-28 02:01:23.502000,80
2017-10-28 03:01:30.045000,80
2017-10-28 04:01:12.306000,80
2017-10-28 05:01:15.330000,80
2017-10-28 06:01:37.090000,80
2017-10-28 07:01:37.078000,80
2017-10-28 08:01:31.071000,80
2017-10-28 09:01:20.246000,80
2017-10-28 10:01:42.842000,80
2017-10-28 11:01:20.574000,80
2017-10-28 12:01:38.425000,80
2017-10-28 13:00:47.916000,80
2017-10-28 14:01:27.333000,80
2017-10-28 15:01:29.691000,77
2017-10-28 16:01:21.702000,77
2017-10-28 17:00:57.633000,77
2017-10-28 18:00:37.252000,77
2017-10-28 19:00:56.832000,77
2017-10-28 20:01:06.982000,77
2017-10-28 21:00:57.766000,77
2017-10-28 22:01:12.763000,77
2017-10-28 23:01:24.213000,77
2017-10-29 00:01:55.707000,77
2017-10-29 01:01:35.423000,77
2017-10-29 02:01:31.779000,77
2017-10-29 03:01:30.920000,77
2017-10-29 04:01:34.031000,77
2017-10-29 15:02:40.609000,77
2017-10-29 16:02:03.341000,77
2017-10-29 17:01:12.051000,77
2017-10-29 18:01:13.534000,77
2017-10-29 19:01:04.964000,77
2017-10-29 20:01:18.571000,77
2017-10-29 21:01:46.545000,77
2017-10-29 22:01:08.065000,77
2017-10-29 23:01:05.168000,77
2017-10-30 00:02:12.885000,77
2017-10-30 01:01:22.965000,77
2017-10-30 02:01:44.622000,77
2017-10-30 03:01:55.391000,77
2017-10-30 04:01:46.775000,77
2017-10-30 05:01:53.133000,77
2017-10-30 06:01:46.476000,77
2017-10-30 07:01:32.944000,77
2017-10-30 08:01:31.956000,77
2017-10-30 09:01:57.239000,77
2017-10-30 10:01:34.792000,77
2017-10-30 11:00:52.483000,77
2017-10-30 12:01:45.078000,77
2017-10-30 13:00:40.609000,76
2017-10-30 14:01:29.024000,76
2017-10-30 15:01:42.408000,76
2017-10-30 16:01:41.060000,76
2017-10-30 17:00:47.354000,76
2017-10-30 18:00:47.437000,76
2017-10-30 19:01:18.908000,76
2017-10-30 20:00:49.878000,76
2017-10-30 21:00:47.727000,76
2017-10-30 22:01:19.679000,76
2017-10-30 23:01:21.087000,76
2017-10-31 00:02:23.606000,76
2017-10-31 01:01:35.293000,76
2017-10-31 02:01:27.923000,76
2017-10-31 03:01:37.406000,76
2017-10-31 04:01:06.801000,76
2017-10-31 05:01:10.267000,76
2017-10-31 14:01:47.476000,76
2017-10-31 15:01:41.076000,75
2017-10-31 16:01:46.813000,75
2017-10-31 17:00:55.283000,75
2017-10-31 18:00:51.754000,75
2017-10-31 19:01:42.765000,75
2017-10-31 20:01:15.693000,75
2017-10-31 21:01:07.060000,75
2017-10-31 22:01:27.670000,75
2017-10-31 23:00:44.482000,75
2017-11-01 00:02:07.237000,75
2017-11-01 01:01:18.077000,75
2017-11-01 02:01:24.960000,75
2017-11-01 03:01:18.356000,75
2017-11-01 04:01:25.306000,75
2017-11-01 05:01:16.196000,75
2017-11-01 06:01:50.569000,75
2017-11-01 07:01:25.422000,75
2017-11-01 08:01:12.302000,75
2017-11-01 09:01:04.068000,75
2017-11-01 10:01:21.934000,75
2017-11-01 11:00:50.649000,75
2017-11-01 12:01:09.204000,75
2017-11-01 13:00:39.463000,75
2017-11-01 14:00:49.365000,75
2017-11-01 15:01:24.141000,75
2017-11-01 16:01:14.726000,75
2017-11-01 17:00:21.073000,75
2017-11-01 18:00:38.995000,75
2017-11-01 19:00:38.447000,75
2017-11-01 20:00:38.030000,75
2017-11-01 21:00:45.155000,74
2017-11-01 22:01:07.254000,74
2017-11-01 23:00:36.008000,74
2017-11-02 00:01:38.264000,74
2017-11-02 01:01:24.269000,74
2017-11-02 02:01:47.145000,74
2017-11-02 03:01:24.224000,74
2017-11-02 04:01:15.460000,74
2017-11-02 05:01:12.184000,74
2017-11-02 06:01:17.471000,74
2017-11-02 07:01:16.666000,74
2017-11-02 08:01:13.898000,74
2017-11-02 09:01:01.385000,74
2017-11-02 10:01:17.525000,74
2017-11-02 11:01:21.561000,74
2017-11-02 12:01:30.936000,74
2017-11-02 13:01:09.536000,74
2017-11-02 14:01:26.916000,74
2017-11-02 15:01:24.221000,74
2017-11-02 16:01:21.004000,70
2017-11-02 17:01:06.345000,70
2017-11-02 18:01:04.858000,70
2017-11-02 19:00:56.184000,70
2017-11-02 20:00:59.077000,70
2017-11-02 21:00:29.515000,70
2017-11-02 22:01:25.120000,70
2017-11-03 00:32:45.064000,70
2017-11-03 02:01:33.853000,70
2017-11-03 03:01:27.373000,70
2017-11-03 04:02:07.386000,70
2017-11-03 05:01:38.057000,70
2017-11-03 06:01:42.758000,70
2017-11-03 07:01:48.810000,70
2017-11-03 08:01:43.445000,70
2017-11-03 09:01:45.472000,70
2017-11-03 10:01:41.060000,70
2017-11-03 11:01:38.385000,70
2017-11-03 12:01:23.937000,70
2017-11-03 13:01:27.462000,70
2017-11-03 16:01:30.980000,70
2017-11-03 17:01:59.037000,69
2017-11-03 18:01:48.273000,69
2017-11-03 19:00:58.410000,69
2017-11-03 21:01:21.979000,69
2017-11-03 23:01:10.943000,69
2017-11-04 00:01:36.632000,69
2017-11-04 01:01:32.671000,69
2017-11-04 03:01:11.502000,69
2017-11-04 04:01:17.072000,69
2017-11-04 05:01:01.365000,69
2017-11-04 06:01:10.129000,69
2017-11-04 07:01:22.303000,69
2017-11-04 08:00:51.746000,69
2017-11-04 09:01:22.475000,69
2017-11-04 10:01:07.559000,69
2017-11-04 11:01:09.373000,69
2017-11-04 12:01:15.573000,69
2017-11-04 13:01:19.656000,69
2017-11-04 14:00:42.308000,69
2017-11-04 15:01:03.999000,69
2017-11-04 16:01:02.169000,67
2017-11-04 17:01:00.828000,67
2017-11-04 18:00:43.151000,67
2017-11-04 19:00:53.685000,67
2017-11-04 20:00:52.156000,67
2017-11-04 21:00:41.718000,67
2017-11-04 22:01:17.760000,67
2017-11-04 23:01:21.509000,67
2017-11-05 00:01:20.505000,67
2017-11-05 01:00:50.118000,67
2017-11-05 02:01:16.043000,67
2017-11-05 03:01:02.555000,67
2017-11-05 04:00:44.658000,67
2017-11-05 05:01:40.265000,67
2017-11-05 06:01:34.593000,67
2017-11-05 07:01:29.982000,67
2017-11-05 08:10:00.047000,67
2017-11-05 09:01:22.163000,67
2017-11-05 10:01:03.618000,67
2017-11-05 11:01:09.584000,67
2017-11-05 12:01:05.578000,67
2017-11-05 13:00:58.900000,67
2017-11-05 14:01:02.179000,67
2017-11-05 15:00:59.871000,67
2017-11-05 16:01:07.226000,67
2017-11-05 17:01:03.263000,67
2017-11-05 18:01:10.022000,67
2017-11-05 19:00:31.117000,67
2017-11-05 20:01:10.383000,67
2017-11-05 21:01:15.241000,67
2017-11-05 22:00:47.678000,67
2017-11-05 23:01:02.834000,67
2017-11-06 00:01:43.902000,67
2017-11-06 01:01:07.504000,67
2017-11-06 02:01:33.354000,67
2017-11-06 03:01:04.929000,67
2017-11-06 04:01:00.772000,67
