Date,Value
2017-09-28 00:00:00,28.0
2017-09-29 00:00:00,96.0
2017-09-30 00:00:00,10.7
2017-10-01 00:00:00,11.3
2017-10-02 00:00:00,14.21
2017-10-03 00:00:00,22.54
2017-10-04 00:00:00,22.54
2017-10-05 00:00:00,26.13
2017-10-06 00:00:00,24.09
2017-10-07 00:00:00,24.09
2017-10-11 01:56:36.814000,32.79
2017-10-11 02:00:42.220000,32.79
2017-10-11 03:01:05.320000,32.79
2017-10-11 04:00:59.712000,32.79
2017-10-11 05:01:59.230000,32.79
2017-10-11 06:02:07.317000,32.79
2017-10-11 07:10:12.713000,32.79
2017-10-11 08:01:43.718000,32.79
2017-10-11 09:01:42.288000,32.79
2017-10-11 10:01:45.515000,32.79
2017-10-11 11:01:22.763000,32.79
2017-10-11 12:01:51.867000,33.6
2017-10-11 13:02:41.818000,33.6
2017-10-11 14:01:02.509000,33.6
2017-10-11 15:01:19.180000,33.6
2017-10-11 16:01:13.332000,33.6
2017-10-11 17:00:55.979000,33.6
2017-10-11 18:01:16.907000,33.6
2017-10-11 19:01:02.640000,33.6
2017-10-11 20:00:55.399000,33.6
2017-10-11 22:01:48.559000,33.6
2017-10-11 23:01:06.675000,33.6
2017-10-12 00:02:27.072000,33.6
2017-10-12 01:00:36.435000,33.6
2017-10-12 02:01:05.042000,33.6
2017-10-12 03:00:46.796000,33.6
2017-10-12 04:01:25.380000,33.6
2017-10-12 05:00:59.640000,33.6
2017-10-12 06:01:30.827000,33.6
2017-10-12 07:00:59.579000,33.6
2017-10-12 08:01:05.446000,33.6
2017-10-12 09:01:04.169000,33.6
2017-10-12 10:01:24.393000,33.6
2017-10-12 11:01:04.507000,33.6
2017-10-12 12:01:05.328000,37.12
2017-10-12 13:01:15.444000,37.12
2017-10-12 15:01:46.463000,37.12
2017-10-12 16:01:16.456000,37.12
2017-10-12 17:00:35.979000,37.12
2017-10-12 18:01:24.313000,37.12
2017-10-12 19:00:58.190000,37.12
2017-10-12 20:00:55.162000,37.12
2017-10-16 19:39:51.103000,43.29
2017-10-16 21:02:10.967000,43.29
2017-10-16 22:00:52.502000,43.29
2017-10-16 23:01:21.255000,43.29
2017-10-17 00:01:44.346000,43.29
2017-10-17 01:01:59.344000,43.29
2017-10-17 02:01:46.227000,43.29
2017-10-17 03:01:36.568000,43.29
2017-10-17 04:02:13.954000,43.29
2017-10-17 05:01:29.168000,43.29
2017-10-17 06:01:40.167000,43.29
2017-10-17 07:01:19.234000,43.29
2017-10-17 08:01:31.903000,43.29
2017-10-17 09:01:21.103000,43.29
2017-10-17 10:03:17.504000,43.29
2017-10-17 11:01:12.270000,43.29
2017-10-17 12:01:51.923000,42.68
2017-10-17 13:01:23.153000,42.68
2017-10-17 14:00:58.387000,42.68
2017-10-17 16:01:18.569000,42.68
2017-10-17 17:01:06.398000,42.68
2017-10-17 18:00:55.413000,42.68
2017-10-17 19:01:00.322000,42.68
2017-10-17 20:01:12.259000,42.68
2017-10-17 21:00:36.634000,42.68
2017-10-17 22:01:27.635000,42.68
2017-10-17 23:01:01.242000,42.68
2017-10-18 00:02:50.314000,42.68
2017-10-18 01:01:47.277000,42.68
2017-10-18 02:01:12.845000,42.68
2017-10-18 03:01:31.070000,42.68
2017-10-18 04:02:01.719000,42.68
2017-10-18 05:01:36.601000,42.68
2017-10-18 06:02:00.764000,42.68
2017-10-18 07:02:29.666000,42.68
2017-10-18 08:02:26.920000,42.68
2017-10-18 09:03:24.020000,42.68
2017-10-18 10:02:20.342000,42.68
2017-10-18 11:03:15.741000,42.68
2017-10-18 12:02:00.213000,42.68
2017-10-18 13:02:08.908000,45.95
2017-10-18 14:02:38.528000,45.95
2017-10-18 15:01:56.143000,45.95
2017-10-18 16:02:56.305000,45.95
2017-10-18 17:01:43.915000,45.95
2017-10-18 18:01:38.019000,45.95
2017-10-18 19:01:45.760000,45.95
2017-10-18 20:00:59.315000,45.95
2017-10-18 21:00:28.109000,45.95
2017-10-18 22:00:49.109000,45.95
2017-10-18 23:00:54.141000,45.95
2017-10-19 00:01:52.802000,45.95
2017-10-19 01:01:27.663000,45.95
2017-10-19 02:01:08.996000,45.95
2017-10-19 03:01:16.623000,45.95
2017-10-19 04:01:19.051000,45.95
2017-10-19 05:01:15.770000,45.95
2017-10-19 06:01:18.226000,45.95
2017-10-19 07:01:02.239000,45.95
2017-10-19 08:01:06.516000,45.95
2017-10-19 09:01:30.328000,45.95
2017-10-19 10:00:59.390000,45.95
2017-10-19 11:01:35.757000,45.95
2017-10-19 12:01:18.474000,45.95
2017-10-19 13:01:34.849000,46.57
2017-10-19 14:00:52.634000,46.57
2017-10-19 15:01:28.324000,46.57
2017-10-19 16:00:54.985000,46.57
2017-10-19 17:00:36.187000,46.57
2017-10-19 18:01:23.428000,46.57
2017-10-19 19:00:51.684000,46.57
2017-10-19 20:00:41.229000,46.57
2017-10-19 21:00:55.859000,46.57
2017-10-19 22:01:17.768000,46.57
2017-10-19 23:01:21.996000,46.57
2017-10-20 00:02:14.971000,46.57
2017-10-20 01:01:13.632000,46.57
